algorithm,max_range,real_cardinality,estimated_cardinality,ratio,size,insertion_time_mean,insertion_time_std,estimation_time
hllpp_14_mmh3,10000,10000,10019,1.0019,131184,0.0009091290473937988,0.0005799325471613351,1.7268657684326172
hllpp_14_mmh3,10000,10000,9960,0.996,131184,0.0008961509227752686,0.00044651490159683166,1.689910888671875
hllpp_14_mmh3,10000,10000,9934,0.9934,131184,0.0009106446266174316,0.0004992721133256305,1.8329620361328125
hllpp_14_mmh3,10000,10000,9978,0.9978,131184,0.0009123668670654297,0.0005342983209236897,1.7580986022949219
hllpp_14_mmh3,10000,10000,10004,1.0004,131184,0.0008965660095214844,0.0004467786544906957,1.6489028930664062
hllpp_14_mmh3,10000,10000,9969,0.9969,131184,0.0008926194190979004,0.0004526520482363243,1.7299652099609375
hllpp_14_mmh3,10000,10000,10061,1.0061,131184,0.0009025142192840576,0.0005158904054311425,1.7659664154052734
hllpp_14_mmh3,10000,10000,9998,0.9998,131184,0.0009060425758361816,0.0005367094194914678,1.6379356384277344
hllpp_14_mmh3,10000,10000,10017,1.0017,131184,0.0009045375347137451,0.0005156392116514179,1.6551017761230469
hllpp_14_mmh3,10000,10000,9991,0.9991,131184,0.0009151446342468262,0.0005691537268658988,1.651763916015625
