algorithm,max_range,real_cardinality,estimated_cardinality,ratio,size,insertion_time_mean,insertion_time_std,estimation_time
tbe_0.05_0.05,10000,10000,10000,1.0,524504,0.0005602270126342774,0.0005902940818380305,0.006198883056640625
tbe_0.05_0.05,10000,10000,10000,1.0,524504,0.0005589013576507569,0.0005964804330895088,0.0040531158447265625
tbe_0.05_0.05,10000,10000,10000,1.0,524504,0.0005526627540588379,0.0005703032493440608,0.00286102294921875
tbe_0.05_0.05,10000,10000,10000,1.0,524504,0.0005600705623626709,0.0006854661716900162,0.003814697265625
tbe_0.05_0.05,10000,10000,10000,1.0,524504,0.0006040513038635254,0.009077038318052386,0.003814697265625
tbe_0.05_0.05,10000,10000,10000,1.0,524504,0.0005451479434967041,0.0005552248270682781,0.004291534423828125
tbe_0.05_0.05,10000,10000,10000,1.0,524504,0.0005449512004852294,0.0005752750337112151,0.003814697265625
tbe_0.05_0.05,10000,10000,10000,1.0,524504,0.0005424578666687012,0.0005776403191980872,0.004291534423828125
tbe_0.05_0.05,10000,10000,10000,1.0,524504,0.0005452045917510986,0.0005980745172674235,0.0040531158447265625
tbe_0.05_0.05,10000,10000,10000,1.0,524504,0.0005424729347229004,0.0005761413399588011,0.0050067901611328125
