algorithm,max_range,real_cardinality,estimated_cardinality,ratio,size,insertion_time_mean,insertion_time_std,estimation_time
hllpp_14_sha256,80000,80000,80460,1.00575,131184,0.0012234211921691896,0.002213302461306055,1.7709732055664062
hllpp_14_sha256,80000,80000,80460,1.00575,131184,0.0012591698169708253,0.0039514531389417415,1.7039775848388672
hllpp_14_sha256,80000,80000,80460,1.00575,131184,0.0012516562461853027,0.006180590767523901,1.657724380493164
hllpp_14_sha256,80000,80000,80460,1.00575,131184,0.0012314281940460205,0.0015307019277006912,1.638174057006836
hllpp_14_sha256,80000,80000,80460,1.00575,131184,0.0012194420337677003,0.000901140421172032,1.644134521484375
hllpp_14_sha256,80000,80000,80460,1.00575,131184,0.001257211208343506,0.004953522990255662,1.7359256744384766
hllpp_14_sha256,80000,80000,80460,1.00575,131184,0.0012578607559204102,0.0021570076127019598,1.6579627990722656
hllpp_14_sha256,80000,80000,80460,1.00575,131184,0.0012419287204742432,0.003311537895705517,1.628875732421875
hllpp_14_sha256,80000,80000,80460,1.00575,131184,0.0012352065086364747,0.0006711748489072373,1.669168472290039
hllpp_14_sha256,80000,80000,80460,1.00575,131184,0.001226962184906006,0.0006854737003266337,1.6410350799560547
