algorithm,max_range,real_cardinality,estimated_cardinality,ratio,size,insertion_time_mean,insertion_time_std,estimation_time
hllpp_14_sha256,60000,60000,59619,0.99365,131184,0.0012667811870574952,0.012727470412006048,1.8601417541503906
hllpp_14_sha256,60000,60000,59619,0.99365,131184,0.001206617784500122,0.0005781310422609145,1.6248226165771484
hllpp_14_sha256,60000,60000,59619,0.99365,131184,0.001229665994644165,0.001080971050224113,1.6307830810546875
hllpp_14_sha256,60000,60000,59619,0.99365,131184,0.0012563297271728515,0.0012194280773703105,1.6999244689941406
hllpp_14_sha256,60000,60000,59619,0.99365,131184,0.001219718313217163,0.0006192511659699537,1.6171932220458984
hllpp_14_sha256,60000,60000,59619,0.99365,131184,0.0012658701896667481,0.010337818350082283,1.6171932220458984
hllpp_14_sha256,60000,60000,59619,0.99365,131184,0.0012071539402008058,0.000570511661767671,1.6329288482666016
hllpp_14_sha256,60000,60000,59619,0.99365,131184,0.0012304416656494141,0.0009260619706039348,1.627206802368164
hllpp_14_sha256,60000,60000,59619,0.99365,131184,0.0012788246154785156,0.014767620640262958,1.6570091247558594
hllpp_14_sha256,60000,60000,59619,0.99365,131184,0.0012032499313354493,0.0005141144565313755,1.634836196899414
