algorithm,max_range,real_cardinality,estimated_cardinality,ratio,size,insertion_time_mean,insertion_time_std,estimation_time
hll_14_mmh3,80000,80000,79326,0.991575,131184,0.0007972109794616699,0.00062548004539488,1.5537738800048828
hll_14_mmh3,80000,80000,79689,0.9961125,131184,0.0007965242385864257,0.0006050708617987673,1.6160011291503906
hll_14_mmh3,80000,80000,80250,1.003125,131184,0.0007964152336120605,0.0006207781175916174,1.6109943389892578
hll_14_mmh3,80000,80000,79908,0.99885,131184,0.0008094971656799316,0.0013889539835645194,1.5308856964111328
hll_14_mmh3,80000,80000,80326,1.004075,131184,0.0007990116119384765,0.0006418060933726714,1.5559196472167969
hll_14_mmh3,80000,80000,79520,0.994,131184,0.0007975231170654297,0.0006730591985134196,1.5490055084228516
hll_14_mmh3,80000,80000,79908,0.99885,131184,0.0007888889789581299,0.0005579685475546871,1.5358924865722656
hll_14_mmh3,80000,80000,80053,1.0006625,131184,0.0007902829647064209,0.0006208588032793888,1.6169548034667969
hll_14_mmh3,80000,80000,79799,0.9974875,131184,0.0007933160781860352,0.00057722123168388,1.6491413116455078
hll_14_mmh3,80000,80000,80308,1.00385,131184,0.0007940024375915528,0.00061110171497137,1.6071796417236328
