algorithm,max_range,real_cardinality,estimated_cardinality,ratio,size,insertion_time_mean,insertion_time_std,estimation_time
hll_14_sha256,1000,1000,999,0.999,131184,0.0011745052337646484,0.0005050694137744695,1.6071796417236328
hll_14_sha256,1000,1000,999,0.999,131184,0.0011843533515930175,0.0005995207153061979,1.5993118286132812
hll_14_sha256,1000,1000,999,0.999,131184,0.0011998205184936524,0.012710102957917708,1.5828609466552734
hll_14_sha256,1000,1000,999,0.999,131184,0.00123205509185791,0.0019536415316893903,1.5969276428222656
hll_14_sha256,1000,1000,999,0.999,131184,0.0012249342918395996,0.0033145892678657705,1.577138900756836
hll_14_sha256,1000,1000,999,0.999,131184,0.0012074887752532959,0.0008854605737351339,1.7261505126953125
hll_14_sha256,1000,1000,999,0.999,131184,0.0011988226890563966,0.0008032878096058196,1.6300678253173828
hll_14_sha256,1000,1000,999,0.999,131184,0.001187786340713501,0.00048458008909664475,1.5988349914550781
hll_14_sha256,1000,1000,999,0.999,131184,0.0011845278263092041,0.00048473632910948065,1.6088485717773438
hll_14_sha256,1000,1000,999,0.999,131184,0.0011827723979949952,0.00047020270830400987,1.5943050384521484
